LSE/CLNR,"CLUFF NATURAL share price (CLNR), Currency GBX"
LSE/CML,"CML MICROSYSTEM share price (CML), Currency GBX"
LSE/CZA,"COAL OF AFRICA share price (CZA), Currency GBX"
LSE/CRES,HARWORTH GP share price (HWG) (CRES)
LSE/COB,"COBHAM share price (COB), Currency GBX"
LSE/CGG,BLENHEIM NATURAL RESOURCES PLC (CGG)
LSE/CCH,"COCACOLA HBC AG share price (CCH), Currency GBX"
LSE/CHRT,"COHORT share price (CHRT), Currency GBX"
LSE/CFX,"COLEFAX GRP. share price (CFX), Currency GBX"
LSE/COS,"COLLAGEN SOL share price (COS), Currency GBX"
LSE/COLT,COLT GROUP S.A. EUR0.50 (COLT)
LSE/CMS,"COMMUNISIS share price (CMS), Currency GBX"
LSE/CPG,"COMPASS GROUP share price (CPG), Currency GBX"
LSE/CCC,"COMPUTACENTER share price (CCC), Currency GBX"
LSE/COMS,"COMS share price (COMS), Currency GBX"
LSE/CHA,"CONCHA share price (CHA), Currency GBX"
LSE/CNC,"CONCUR.TECH share price (CNC), Currency GBX"
LSE/CNR,"CONDOR GLD share price (CNR), Currency GBX"
LSE/CXM,Conexion Media Group Plc (CXM)
LSE/CSRT,"CONSORT MED. share price (CSRT), Currency GBX"
LSE/COOL,Continental Coal Limited (COOL)
LSE/CVR,"CONVIVIALITY share price (CVR), Currency GBX"
LSE/CIC,"CONYGAR INV share price (CIC), Currency GBX"
LSE/CDC,COPPER DEVELOPMENT CORPORATION (CDC)
LSE/CRA,TP GRP share price (TPG) (CRA)
LSE/CRU,"CORAL PRODUCTS share price (CRU), Currency GBX"
LSE/CNS,"CORERO NETWORK share price (CNS), Currency GBX"
LSE/COST,"COSTAIN GRP. share price (COST), Currency GBX"
LSE/CWD,"COUNTRYWIDE share price (CWD), Currency GBX"
LSE/CPS,"CPL RESOURCES share price (CPS), Currency GBX"
LSE/CPP,"CPPGROUP share price (CPP), Currency GBX"
LSE/CRW,"CRANEWARE share price (CRW), Currency GBX"
LSE/CWK,"CRANSWICK share price (CWK), Currency GBX"
LSE/CRV,"CRAVEN HSE CAP share price (CRV), Currency USD"
LSE/CRAW,"CRAWSHAW share price (CRAW), Currency GBX"
LSE/CRHL,Creat Resources Holdings Ld (CRHL)
LSE/CRL,"CREIGHTONS share price (CRL), Currency GBX"
LSE/CRST,"CREST NICHOLSON share price (CRST), Currency GBX"
LSE/CRE,"CRESTON share price (CRE), Currency GBX"
LSE/CRH,"CRH share price (CRH), Currency GBX"
LSE/TIDE,"CRIMSON TIDE share price (TIDE), Currency GBX"
LSE/CRDA,"CRODA INTL. share price (CRDA), Currency GBX"
